 @OpenWithToastLogo.png                                                 | 0.2 kb
api-ms-win-core-localization-obsolete-l1-1-0.dll                       | 3.0 kb
api-ms-win-core-localization-obsolete-l1-2-0.dll                       | 3.0 kb
api-ms-win-core-localization-private-l1-1-0.dll                        | 3.0 kb
api-ms-win-core-localregistry-l1-1-0.dll                               | 3.5 kb
api-ms-win-core-memory-l1-1-0.dll                                      | 3.0 kb
api-ms-win-core-memory-l1-1-1.dll                                      | 3.5 kb
api-ms-win-core-memory-l1-1-2.dll                                      | 3.5 kb
api-ms-win-core-multipleproviderrouter-l1-1-0.dll                      | 3.0 kb
api-ms-win-core-namedpipe-l1-1-0.dll                                   | 3.0 kb
api-ms-win-core-namedpipe-l1-2-0.dll                                   | 3.0 kb
api-ms-win-core-namespace-l1-1-0.dll                                   | 2.5 kb
api-ms-win-core-normalization-l1-1-0.dll                               | 2.5 kb
api-ms-win-core-path-l1-1-0.dll                                        | 3.0 kb
api-ms-win-core-privateprofile-l1-1-0.dll                              | 3.5 kb
api-ms-win-core-processenvironment-l1-1-0.dll                          | 3.5 kb
api-ms-win-core-processenvironment-l1-2-0.dll                          | 3.5 kb
api-ms-win-core-processsecurity-l1-1-0.dll                             | 2.5 kb
api-ms-win-core-processthreads-l1-1-0.dll                              | 4.0 kb
api-ms-win-core-processthreads-l1-1-1.dll                              | 4.5 kb
api-ms-win-core-processthreads-l1-1-2.dll                              | 4.5 kb
api-ms-win-core-processtopology-l1-1-0.dll                             | 2.5 kb
api-ms-win-core-processtopology-l1-2-0.dll                             | 2.5 kb
api-ms-win-core-processtopology-obsolete-l1-1-0.dll                    | 2.5 kb
api-ms-win-core-processtopology-private-l1-1-0.dll                     | 2.5 kb
api-ms-win-core-profile-l1-1-0.dll                                     | 2.5 kb
api-ms-win-core-psapi-ansi-l1-1-0.dll                                  | 2.5 kb
api-ms-win-core-psapi-l1-1-0.dll                                       | 3.0 kb
api-ms-win-core-psapi-obsolete-l1-1-0.dll                              | 2.5 kb
api-ms-win-core-psm-app-l1-1-0.dll                                     | 3.0 kb
api-ms-win-core-psm-appnotify-l1-1-0.dll                               | 2.5 kb
api-ms-win-core-psm-info-l1-1-0.dll                                    | 3.0 kb
api-ms-win-core-psm-key-l1-1-0.dll                                     | 3.0 kb
api-ms-win-core-psm-plm-l1-1-0.dll                                     | 3.0 kb
api-ms-win-core-psm-plm-l1-1-1.dll                                     | 3.5 kb
api-ms-win-core-quirks-l1-1-0.dll                                      | 3.0 kb
api-ms-win-core-realtime-l1-1-0.dll                                    | 2.5 kb
api-ms-win-core-registry-l1-1-0.dll                                    | 3.5 kb
api-ms-win-core-registry-l2-1-0.dll                                    | 4.0 kb
api-ms-win-core-registry-private-l1-1-0.dll                            | 3.0 kb
api-ms-win-core-registryuserspecific-l1-1-0.dll                        | 3.0 kb
api-ms-win-core-rtlsupport-l1-1-0.dll                                  | 3.0 kb
api-ms-win-core-rtlsupport-l1-2-0.dll                                  | 3.0 kb
api-ms-win-core-shlwapi-legacy-l1-1-0.dll                              | 5.0 kb
api-ms-win-core-shlwapi-obsolete-l1-1-0.dll                            | 3.5 kb
api-ms-win-core-shutdown-l1-1-0.dll                                    | 3.0 kb
api-ms-win-core-sidebyside-l1-1-0.dll                                  | 3.0 kb
api-ms-win-core-string-l1-1-0.dll                                      | 2.5 kb
api-ms-win-core-string-l2-1-0.dll                                      | 2.5 kb
api-ms-win-core-string-obsolete-l1-1-0.dll                             | 3.0 kb
api-ms-win-core-stringansi-l1-1-0.dll                                  | 2.5 kb
api-ms-win-core-stringloader-l1-1-0.dll                                | 2.5 kb
api-ms-win-core-stringloader-l1-1-1.dll                                | 2.5 kb
api-ms-win-core-synch-l1-1-0.dll                                       | 3.5 kb
api-ms-win-core-synch-l1-2-0.dll                                       | 4.0 kb
api-ms-win-core-sysinfo-l1-1-0.dll                                     | 3.5 kb
api-ms-win-core-sysinfo-l1-2-0.dll                                     | 3.5 kb
api-ms-win-core-sysinfo-l1-2-1.dll                                     | 3.5 kb
api-ms-win-core-systemtopology-l1-1-0.dll                              | 2.5 kb
api-ms-win-core-threadpool-l1-1-0.dll                                  | 4.0 kb
api-ms-win-core-threadpool-l1-2-0.dll                                  | 4.0 kb
api-ms-win-core-threadpool-legacy-l1-1-0.dll                           | 2.5 kb
api-ms-win-core-threadpool-private-l1-1-0.dll                          | 2.5 kb
api-ms-win-core-timezone-l1-1-0.dll                                    | 3.0 kb
api-ms-win-core-timezone-private-l1-1-0.dll                            | 2.5 kb
api-ms-win-core-toolhelp-l1-1-0.dll                                    | 3.0 kb
api-ms-win-core-ums-l1-1-0.dll                                         | 3.5 kb
api-ms-win-core-url-l1-1-0.dll                                         | 3.5 kb
api-ms-win-core-util-l1-1-0.dll                                        | 2.5 kb
api-ms-win-core-version-l1-1-0.dll                                     | 2.5 kb
